station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold,exceed_probability (%)
东城区,2026-05-13,0,75.9,,50.0,99.85
东城区,2026-05-13,1,80.6,,50.0,99.95
东城区,2026-05-13,2,68.0,,50.0,98.9
东城区,2026-05-13,3,63.5,,50.0,96.69
东城区,2026-05-13,4,59.5,,50.0,91.49
东城区,2026-05-13,5,54.1,,50.0,73.59
东城区,2026-05-13,6,53.2,,50.0,69.0
东城区,2026-05-13,7,51.7,,50.0,60.47
东城区,2026-05-13,8,56.1,,50.0,82.13
东城区,2026-05-13,9,61.1,,50.0,94.13
东城区,2026-05-13,10,42.6,,50.0,44.37
东城区,2026-05-13,11,44.8,,50.0,47.51
东城区,2026-05-13,12,40.9,,50.0,38.13
东城区,2026-05-13,13,36.1,,50.0,24.75
东城区,2026-05-13,14,32.6,,50.0,23.87
东城区,2026-05-13,15,31.8,,50.0,23.65
东城区,2026-05-13,16,35.8,,50.0,26.09
东城区,2026-05-13,17,32.1,,50.0,30.3
东城区,2026-05-13,18,33.1,,50.0,32.23
东城区,2026-05-13,19,44.1,,50.0,44.08
东城区,2026-05-13,20,37.0,,50.0,39.47
东城区,2026-05-13,21,34.1,,50.0,35.33
东城区,2026-05-13,22,38.8,,50.0,46.82
东城区,2026-05-13,23,36.8,,50.0,40.45
